mode,task,trial,success,coder_turns,pass_turn,outcome,elapsed_time
Qwen3-4B-nothink,HumanEval_113,0,True,2,2,pass,4.37
Qwen3-4B-nothink,HumanEval_113,1,False,6,0,fail_after_6_turns,15.58
Qwen3-4B-nothink,HumanEval_113,2,True,1,1,pass,2.13
Qwen3-4B-nothink,HumanEval_114,0,True,1,1,pass,1.76
Qwen3-4B-nothink,HumanEval_114,1,True,1,1,pass,1.76
Qwen3-4B-nothink,HumanEval_114,2,True,1,1,pass,1.82
Qwen3-4B-nothink,HumanEval_115,0,True,1,1,pass,4.42
Qwen3-4B-nothink,HumanEval_115,1,True,1,1,pass,4.41
Qwen3-4B-nothink,HumanEval_115,2,True,1,1,pass,4.47
Qwen3-4B-nothink,HumanEval_116,0,False,6,0,fail_after_6_turns,43.56
Qwen3-4B-nothink,HumanEval_116,1,False,6,0,fail_after_6_turns,25.28
Qwen3-4B-nothink,HumanEval_116,2,False,6,0,fail_after_6_turns,29.86
Qwen3-4B-nothink,HumanEval_117,0,True,1,1,pass,2.99
Qwen3-4B-nothink,HumanEval_117,1,True,1,1,pass,3.02
Qwen3-4B-nothink,HumanEval_117,2,True,1,1,pass,3.04
Qwen3-4B-nothink,HumanEval_118,0,True,1,1,pass,3.4
Qwen3-4B-nothink,HumanEval_118,1,True,1,1,pass,3.37
Qwen3-4B-nothink,HumanEval_118,2,True,1,1,pass,3.34
Qwen3-4B-nothink,HumanEval_119,0,True,1,1,pass,2.88
Qwen3-4B-nothink,HumanEval_119,1,True,1,1,pass,2.88
Qwen3-4B-nothink,HumanEval_119,2,True,1,1,pass,3.02
Qwen3-4B-nothink,HumanEval_12,0,True,1,1,pass,1.81
Qwen3-4B-nothink,HumanEval_12,1,True,1,1,pass,1.82
Qwen3-4B-nothink,HumanEval_12,2,True,1,1,pass,1.86
Qwen3-4B-nothink,HumanEval_120,0,True,1,1,pass,3.59
Qwen3-4B-nothink,HumanEval_120,1,True,1,1,pass,3.59
Qwen3-4B-nothink,HumanEval_120,2,True,3,3,pass,11.24
Qwen3-4B-nothink,HumanEval_121,0,True,4,4,pass,13.95
Qwen3-4B-nothink,HumanEval_121,1,True,1,1,pass,1.6
Qwen3-4B-nothink,HumanEval_121,2,True,1,1,pass,1.66
Qwen3-4B-nothink,HumanEval_122,0,True,1,1,pass,2.01
Qwen3-4B-nothink,HumanEval_122,1,True,1,1,pass,2.0
Qwen3-4B-nothink,HumanEval_122,2,True,1,1,pass,2.09
Qwen3-4B-nothink,HumanEval_123,0,True,1,1,pass,3.94
Qwen3-4B-nothink,HumanEval_123,1,True,1,1,pass,4.07
Qwen3-4B-nothink,HumanEval_123,2,True,1,1,pass,4.08
Qwen3-4B-nothink,HumanEval_124,0,True,1,1,pass,6.92
Qwen3-4B-nothink,HumanEval_124,1,True,1,1,pass,3.47
Qwen3-4B-nothink,HumanEval_124,2,True,1,1,pass,3.12
Qwen3-4B-nothink,HumanEval_125,0,False,6,0,fail_after_6_turns,22.11
Qwen3-4B-nothink,HumanEval_125,1,False,6,0,fail_after_6_turns,19.87
Qwen3-4B-nothink,HumanEval_125,2,False,6,0,fail_after_6_turns,23.56
Qwen3-4B-nothink,HumanEval_126,0,True,1,1,pass,4.59
Qwen3-4B-nothink,HumanEval_126,1,True,1,1,pass,4.84
Qwen3-4B-nothink,HumanEval_126,2,True,2,2,pass,9.06
Qwen3-4B-nothink,HumanEval_127,0,False,6,0,fail_after_6_turns,29.06
Qwen3-4B-nothink,HumanEval_127,1,False,6,0,fail_after_6_turns,37.44
Qwen3-4B-nothink,HumanEval_127,2,False,6,0,fail_after_6_turns,21.29
Qwen3-4B-nothink,HumanEval_128,0,True,1,1,pass,2.52
Qwen3-4B-nothink,HumanEval_128,1,True,1,1,pass,2.51
Qwen3-4B-nothink,HumanEval_128,2,True,1,1,pass,2.58
Qwen3-4B-nothink,HumanEval_129,0,True,2,2,pass,20.28
Qwen3-4B-nothink,HumanEval_129,1,True,1,1,pass,10.37
Qwen3-4B-nothink,HumanEval_129,2,True,1,1,pass,8.77
Qwen3-4B-nothink,HumanEval_13,0,True,1,1,pass,1.93
Qwen3-4B-nothink,HumanEval_13,1,True,1,1,pass,1.57
Qwen3-4B-nothink,HumanEval_13,2,True,1,1,pass,1.61
Qwen3-4B-nothink,HumanEval_130,0,False,6,0,fail_after_6_turns,26.85
Qwen3-4B-nothink,HumanEval_130,1,False,6,0,fail_after_6_turns,31.26
Qwen3-4B-nothink,HumanEval_130,2,False,6,0,fail_after_6_turns,40.03
Qwen3-4B-nothink,HumanEval_131,0,True,1,1,pass,1.72
Qwen3-4B-nothink,HumanEval_131,1,True,1,1,pass,1.72
Qwen3-4B-nothink,HumanEval_131,2,True,1,1,pass,1.75
Qwen3-4B-nothink,HumanEval_132,0,False,6,0,fail_after_6_turns,19.51
Qwen3-4B-nothink,HumanEval_132,1,False,6,0,fail_after_6_turns,21.77
Qwen3-4B-nothink,HumanEval_132,2,False,6,0,fail_after_6_turns,20.82
Qwen3-4B-nothink,HumanEval_133,0,True,2,2,pass,4.77
Qwen3-4B-nothink,HumanEval_133,1,True,2,2,pass,4.76
Qwen3-4B-nothink,HumanEval_133,2,True,2,2,pass,7.07
Qwen3-4B-nothink,HumanEval_134,0,True,1,1,pass,3.03
Qwen3-4B-nothink,HumanEval_134,1,True,1,1,pass,3.0
Qwen3-4B-nothink,HumanEval_134,2,True,1,1,pass,2.9
Qwen3-4B-nothink,HumanEval_135,0,True,2,2,pass,4.36
Qwen3-4B-nothink,HumanEval_135,1,True,3,3,pass,5.93
Qwen3-4B-nothink,HumanEval_135,2,False,6,0,fail_after_6_turns,12.18
Qwen3-4B-nothink,HumanEval_136,0,True,1,1,pass,2.44
Qwen3-4B-nothink,HumanEval_136,1,True,1,1,pass,2.5
Qwen3-4B-nothink,HumanEval_136,2,True,1,1,pass,2.51
Qwen3-4B-nothink,HumanEval_137,0,True,2,2,pass,4.67
Qwen3-4B-nothink,HumanEval_137,1,True,2,2,pass,5.7
Qwen3-4B-nothink,HumanEval_137,2,True,1,1,pass,2.54
Qwen3-4B-nothink,HumanEval_138,0,True,1,1,pass,2.21
Qwen3-4B-nothink,HumanEval_138,1,True,2,2,pass,7.3
Qwen3-4B-nothink,HumanEval_138,2,True,1,1,pass,2.55
Qwen3-4B-nothink,HumanEval_139,0,True,2,2,pass,3.71
Qwen3-4B-nothink,HumanEval_139,1,True,2,2,pass,4.14
Qwen3-4B-nothink,HumanEval_139,2,True,2,2,pass,4.24
Qwen3-4B-nothink,HumanEval_14,0,True,1,1,pass,1.17
Qwen3-4B-nothink,HumanEval_14,1,True,1,1,pass,1.18
Qwen3-4B-nothink,HumanEval_14,2,True,1,1,pass,1.18
Qwen3-4B-nothink,HumanEval_140,0,True,2,2,pass,4.2
Qwen3-4B-nothink,HumanEval_140,1,True,2,2,pass,4.22
Qwen3-4B-nothink,HumanEval_140,2,True,2,2,pass,6.99
Qwen3-4B-nothink,HumanEval_141,0,True,1,1,pass,4.51
Qwen3-4B-nothink,HumanEval_141,1,True,1,1,pass,4.41
Qwen3-4B-nothink,HumanEval_141,2,True,1,1,pass,4.47
Qwen3-4B-nothink,HumanEval_142,0,False,6,0,fail_after_6_turns,21.52
Qwen3-4B-nothink,HumanEval_142,1,False,6,0,fail_after_6_turns,17.71
Qwen3-4B-nothink,HumanEval_142,2,False,6,0,fail_after_6_turns,24.53
Qwen3-4B-nothink,HumanEval_143,0,True,1,1,pass,3.23
Qwen3-4B-nothink,HumanEval_143,1,True,1,1,pass,3.65
Qwen3-4B-nothink,HumanEval_143,2,True,1,1,pass,3.25
Qwen3-4B-nothink,HumanEval_144,0,True,1,1,pass,2.4
Qwen3-4B-nothink,HumanEval_144,1,True,1,1,pass,2.41
Qwen3-4B-nothink,HumanEval_144,2,True,1,1,pass,2.45
Qwen3-4B-nothink,HumanEval_145,0,False,6,0,fail_after_6_turns,16.88
Qwen3-4B-nothink,HumanEval_145,1,False,6,0,fail_after_6_turns,17.9
Qwen3-4B-nothink,HumanEval_145,2,False,6,0,fail_after_6_turns,17.01
Qwen3-4B-nothink,HumanEval_146,0,True,1,1,pass,2.9
Qwen3-4B-nothink,HumanEval_146,1,True,2,2,pass,6.23
Qwen3-4B-nothink,HumanEval_146,2,True,2,2,pass,6.39
Qwen3-4B-nothink,HumanEval_147,0,True,1,1,pass,6.9
Qwen3-4B-nothink,HumanEval_147,1,True,1,1,pass,6.98
Qwen3-4B-nothink,HumanEval_147,2,True,1,1,pass,7.36
Qwen3-4B-nothink,HumanEval_148,0,True,1,1,pass,3.79
Qwen3-4B-nothink,HumanEval_148,1,True,1,1,pass,3.84
Qwen3-4B-nothink,HumanEval_148,2,True,1,1,pass,4.21
Qwen3-4B-nothink,HumanEval_149,0,True,1,1,pass,2.95
Qwen3-4B-nothink,HumanEval_149,1,True,1,1,pass,2.93
Qwen3-4B-nothink,HumanEval_149,2,True,1,1,pass,2.92
Qwen3-4B-nothink,HumanEval_15,0,True,1,1,pass,1.19
Qwen3-4B-nothink,HumanEval_15,1,True,1,1,pass,1.19
Qwen3-4B-nothink,HumanEval_15,2,True,1,1,pass,1.24
Qwen3-4B-nothink,HumanEval_150,0,True,1,1,pass,2.48
Qwen3-4B-nothink,HumanEval_150,1,True,1,1,pass,2.48
Qwen3-4B-nothink,HumanEval_150,2,True,1,1,pass,2.47
Qwen3-4B-nothink,HumanEval_151,0,True,1,1,pass,2.31
Qwen3-4B-nothink,HumanEval_151,1,True,1,1,pass,2.51
Qwen3-4B-nothink,HumanEval_151,2,True,1,1,pass,2.5
Qwen3-4B-nothink,HumanEval_152,0,True,1,1,pass,2.95
Qwen3-4B-nothink,HumanEval_152,1,True,1,1,pass,2.94
Qwen3-4B-nothink,HumanEval_152,2,True,1,1,pass,2.92
Qwen3-4B-nothink,HumanEval_153,0,False,6,0,fail_after_6_turns,27.08
Qwen3-4B-nothink,HumanEval_153,1,True,1,1,pass,4.3
Qwen3-4B-nothink,HumanEval_153,2,True,1,1,pass,4.3
Qwen3-4B-nothink,HumanEval_154,0,True,1,1,pass,1.59
Qwen3-4B-nothink,HumanEval_154,1,True,1,1,pass,1.44
Qwen3-4B-nothink,HumanEval_154,2,True,1,1,pass,1.49
Qwen3-4B-nothink,HumanEval_155,0,True,1,1,pass,1.97
Qwen3-4B-nothink,HumanEval_155,1,True,1,1,pass,2.03
Qwen3-4B-nothink,HumanEval_155,2,True,1,1,pass,2.0
Qwen3-4B-nothink,HumanEval_156,0,True,1,1,pass,2.89
Qwen3-4B-nothink,HumanEval_156,1,True,1,1,pass,2.9
Qwen3-4B-nothink,HumanEval_156,2,True,1,1,pass,2.89
Qwen3-4B-nothink,HumanEval_157,0,True,1,1,pass,2.16
Qwen3-4B-nothink,HumanEval_157,1,True,1,1,pass,2.17
Qwen3-4B-nothink,HumanEval_157,2,True,1,1,pass,2.12
Qwen3-4B-nothink,HumanEval_158,0,True,1,1,pass,2.4
Qwen3-4B-nothink,HumanEval_158,1,True,1,1,pass,2.39
Qwen3-4B-nothink,HumanEval_158,2,True,1,1,pass,2.39
Qwen3-4B-nothink,HumanEval_159,0,False,2,0,fail_before_6_turns,555.5465292930603
Qwen3-4B-nothink,HumanEval_159,1,False,6,0,fail_after_6_turns,36.57
Qwen3-4B-nothink,HumanEval_159,2,True,3,3,pass,17.78
Qwen3-4B-nothink,HumanEval_16,0,True,1,1,pass,1.64
Qwen3-4B-nothink,HumanEval_16,1,True,1,1,pass,1.63
Qwen3-4B-nothink,HumanEval_16,2,True,1,1,pass,1.63
Qwen3-4B-nothink,HumanEval_160,0,True,1,1,pass,3.1
Qwen3-4B-nothink,HumanEval_160,1,True,4,4,pass,17.39
Qwen3-4B-nothink,HumanEval_160,2,True,1,1,pass,3.03
Qwen3-4B-nothink,HumanEval_161,0,True,1,1,pass,2.76
Qwen3-4B-nothink,HumanEval_161,1,True,1,1,pass,2.76
Qwen3-4B-nothink,HumanEval_161,2,True,1,1,pass,2.73
Qwen3-4B-nothink,HumanEval_162,0,True,1,1,pass,1.52
Qwen3-4B-nothink,HumanEval_162,1,True,1,1,pass,1.49
Qwen3-4B-nothink,HumanEval_162,2,True,1,1,pass,1.5
Qwen3-4B-nothink,HumanEval_163,0,False,6,0,fail_after_6_turns,20.71
Qwen3-4B-nothink,HumanEval_163,1,True,4,4,pass,14.51
Qwen3-4B-nothink,HumanEval_163,2,False,6,0,fail_after_6_turns,17.72
Qwen3-4B-nothink,HumanEval_17,0,True,1,1,pass,3.11
Qwen3-4B-nothink,HumanEval_17,1,True,1,1,pass,3.15
Qwen3-4B-nothink,HumanEval_17,2,True,1,1,pass,3.43
Qwen3-4B-nothink,HumanEval_18,0,True,1,1,pass,1.86
Qwen3-4B-nothink,HumanEval_18,1,True,1,1,pass,1.94
Qwen3-4B-nothink,HumanEval_18,2,True,1,1,pass,1.88
Qwen3-4B-nothink,HumanEval_19,0,True,1,1,pass,3.09
Qwen3-4B-nothink,HumanEval_19,1,False,6,0,fail_after_6_turns,23.16
Qwen3-4B-nothink,HumanEval_19,2,True,2,2,pass,7.26
Qwen3-4B-nothink,HumanEval_2,0,True,1,1,pass,1.36
Qwen3-4B-nothink,HumanEval_2,1,True,1,1,pass,1.27
Qwen3-4B-nothink,HumanEval_2,2,True,1,1,pass,1.3
Qwen3-4B-nothink,HumanEval_20,0,True,1,1,pass,3.47
Qwen3-4B-nothink,HumanEval_20,1,True,1,1,pass,3.54
Qwen3-4B-nothink,HumanEval_20,2,True,1,1,pass,3.68
Qwen3-4B-nothink,HumanEval_21,0,True,1,1,pass,2.01
Qwen3-4B-nothink,HumanEval_21,1,True,1,1,pass,2.0
Qwen3-4B-nothink,HumanEval_21,2,True,1,1,pass,2.01
Qwen3-4B-nothink,HumanEval_22,0,True,1,1,pass,1.44
Qwen3-4B-nothink,HumanEval_22,1,True,1,1,pass,1.44
Qwen3-4B-nothink,HumanEval_22,2,True,1,1,pass,1.44
Qwen3-4B-nothink,HumanEval_23,0,True,1,1,pass,0.84
Qwen3-4B-nothink,HumanEval_23,1,True,1,1,pass,0.82
Qwen3-4B-nothink,HumanEval_23,2,True,1,1,pass,0.86
Qwen3-4B-nothink,HumanEval_24,0,True,1,1,pass,1.68
Qwen3-4B-nothink,HumanEval_24,1,True,1,1,pass,1.72
Qwen3-4B-nothink,HumanEval_24,2,True,1,1,pass,1.66
Qwen3-4B-nothink,HumanEval_25,0,True,1,1,pass,2.98
Qwen3-4B-nothink,HumanEval_25,1,True,1,1,pass,2.99
Qwen3-4B-nothink,HumanEval_25,2,True,1,1,pass,2.99
Qwen3-4B-nothink,HumanEval_26,0,False,6,0,fail_after_6_turns,12.71
Qwen3-4B-nothink,HumanEval_26,1,False,6,0,fail_after_6_turns,15.5
Qwen3-4B-nothink,HumanEval_26,2,False,6,0,fail_after_6_turns,12.25
Qwen3-4B-nothink,HumanEval_27,0,True,1,1,pass,0.89
Qwen3-4B-nothink,HumanEval_27,1,True,1,1,pass,0.9
Qwen3-4B-nothink,HumanEval_27,2,True,1,1,pass,0.88
Qwen3-4B-nothink,HumanEval_28,0,True,1,1,pass,0.98
Qwen3-4B-nothink,HumanEval_28,1,True,1,1,pass,1.0
Qwen3-4B-nothink,HumanEval_28,2,True,1,1,pass,0.97
Qwen3-4B-nothink,HumanEval_29,0,True,1,1,pass,1.37
Qwen3-4B-nothink,HumanEval_29,1,True,1,1,pass,1.41
Qwen3-4B-nothink,HumanEval_29,2,True,1,1,pass,1.39
Qwen3-4B-nothink,HumanEval_3,0,True,1,1,pass,1.56
Qwen3-4B-nothink,HumanEval_3,1,True,1,1,pass,1.5
Qwen3-4B-nothink,HumanEval_3,2,True,1,1,pass,1.51
Qwen3-4B-nothink,HumanEval_30,0,True,1,1,pass,1.7
Qwen3-4B-nothink,HumanEval_30,1,True,1,1,pass,1.72
Qwen3-4B-nothink,HumanEval_30,2,True,1,1,pass,1.69
Qwen3-4B-nothink,HumanEval_31,0,True,1,1,pass,2.36
Qwen3-4B-nothink,HumanEval_31,1,True,1,1,pass,2.21
Qwen3-4B-nothink,HumanEval_31,2,True,1,1,pass,2.39
Qwen3-4B-nothink,HumanEval_32,0,False,6,0,fail_after_6_turns,39.86
Qwen3-4B-nothink,HumanEval_32,1,False,6,0,fail_after_6_turns,41.12
Qwen3-4B-nothink,HumanEval_32,2,False,6,0,fail_after_6_turns,43.27
Qwen3-4B-nothink,HumanEval_33,0,True,1,1,pass,3.19
Qwen3-4B-nothink,HumanEval_33,1,True,1,1,pass,3.13
Qwen3-4B-nothink,HumanEval_33,2,True,1,1,pass,3.14
Qwen3-4B-nothink,HumanEval_34,0,True,1,1,pass,1.24
Qwen3-4B-nothink,HumanEval_34,1,True,1,1,pass,1.22
Qwen3-4B-nothink,HumanEval_34,2,True,1,1,pass,1.21
Qwen3-4B-nothink,HumanEval_35,0,True,1,1,pass,1.69
Qwen3-4B-nothink,HumanEval_35,1,True,1,1,pass,1.29
Qwen3-4B-nothink,HumanEval_35,2,True,1,1,pass,1.29
Qwen3-4B-nothink,HumanEval_36,0,False,6,0,fail_after_6_turns,31.88
Qwen3-4B-nothink,HumanEval_36,1,True,1,1,pass,1.89
Qwen3-4B-nothink,HumanEval_36,2,False,6,0,fail_after_6_turns,14.1
Qwen3-4B-nothink,HumanEval_37,0,True,1,1,pass,2.76
Qwen3-4B-nothink,HumanEval_37,1,True,1,1,pass,2.82
Qwen3-4B-nothink,HumanEval_37,2,True,1,1,pass,2.9
Qwen3-4B-nothink,HumanEval_38,0,True,2,2,pass,5.32
Qwen3-4B-nothink,HumanEval_38,1,True,2,2,pass,5.36
Qwen3-4B-nothink,HumanEval_38,2,True,2,2,pass,5.57
Qwen3-4B-nothink,HumanEval_39,0,True,1,1,pass,2.67
Qwen3-4B-nothink,HumanEval_39,1,True,1,1,pass,2.66
Qwen3-4B-nothink,HumanEval_39,2,True,1,1,pass,2.67
Qwen3-4B-nothink,HumanEval_4,0,True,1,1,pass,2.33
Qwen3-4B-nothink,HumanEval_4,1,True,1,1,pass,2.12
Qwen3-4B-nothink,HumanEval_4,2,True,1,1,pass,2.31
Qwen3-4B-nothink,HumanEval_40,0,True,1,1,pass,3.63
Qwen3-4B-nothink,HumanEval_40,1,True,1,1,pass,3.65
Qwen3-4B-nothink,HumanEval_40,2,True,1,1,pass,3.69
Qwen3-4B-nothink,HumanEval_41,0,True,1,1,pass,2.02
Qwen3-4B-nothink,HumanEval_41,1,True,1,1,pass,1.99
Qwen3-4B-nothink,HumanEval_41,2,True,1,1,pass,1.97
Qwen3-4B-nothink,HumanEval_42,0,True,1,1,pass,1.63
Qwen3-4B-nothink,HumanEval_42,1,True,1,1,pass,1.62
Qwen3-4B-nothink,HumanEval_42,2,True,1,1,pass,1.83
Qwen3-4B-nothink,HumanEval_43,0,True,1,1,pass,2.32
Qwen3-4B-nothink,HumanEval_43,1,True,1,1,pass,2.28
Qwen3-4B-nothink,HumanEval_43,2,True,1,1,pass,2.3
Qwen3-4B-nothink,HumanEval_44,0,True,1,1,pass,1.85
Qwen3-4B-nothink,HumanEval_44,1,True,1,1,pass,1.85
Qwen3-4B-nothink,HumanEval_44,2,True,1,1,pass,1.85
Qwen3-4B-nothink,HumanEval_45,0,True,1,1,pass,0.92
Qwen3-4B-nothink,HumanEval_45,1,True,1,1,pass,0.92
Qwen3-4B-nothink,HumanEval_45,2,True,1,1,pass,0.93
Qwen3-4B-nothink,HumanEval_46,0,True,1,1,pass,3.55
Qwen3-4B-nothink,HumanEval_46,1,True,1,1,pass,3.57
Qwen3-4B-nothink,HumanEval_46,2,True,1,1,pass,3.53
Qwen3-4B-nothink,HumanEval_47,0,True,1,1,pass,1.74
Qwen3-4B-nothink,HumanEval_47,1,True,1,1,pass,1.75
Qwen3-4B-nothink,HumanEval_47,2,True,1,1,pass,1.75
Qwen3-4B-nothink,HumanEval_48,0,True,1,1,pass,1.18
Qwen3-4B-nothink,HumanEval_48,1,True,1,1,pass,1.18
Qwen3-4B-nothink,HumanEval_48,2,True,1,1,pass,1.2
Qwen3-4B-nothink,HumanEval_49,0,True,1,1,pass,2.07
Qwen3-4B-nothink,HumanEval_49,1,True,1,1,pass,2.03
Qwen3-4B-nothink,HumanEval_49,2,True,1,1,pass,2.12
Qwen3-4B-nothink,HumanEval_5,0,True,1,1,pass,1.75
Qwen3-4B-nothink,HumanEval_5,1,True,1,1,pass,1.69
Qwen3-4B-nothink,HumanEval_5,2,True,1,1,pass,1.7
Qwen3-4B-nothink,HumanEval_50,0,True,2,2,pass,3.52
Qwen3-4B-nothink,HumanEval_50,1,True,2,2,pass,3.13
Qwen3-4B-nothink,HumanEval_50,2,True,2,2,pass,3.46
Qwen3-4B-nothink,HumanEval_51,0,True,1,1,pass,1.88
Qwen3-4B-nothink,HumanEval_51,1,True,1,1,pass,1.87
Qwen3-4B-nothink,HumanEval_51,2,True,1,1,pass,1.92
Qwen3-4B-nothink,HumanEval_52,0,True,1,1,pass,1.37
Qwen3-4B-nothink,HumanEval_52,1,True,1,1,pass,1.35
Qwen3-4B-nothink,HumanEval_52,2,True,1,1,pass,1.38
Qwen3-4B-nothink,HumanEval_53,0,True,1,1,pass,1.11
Qwen3-4B-nothink,HumanEval_53,1,True,1,1,pass,0.95
Qwen3-4B-nothink,HumanEval_53,2,True,1,1,pass,1.12
Qwen3-4B-nothink,HumanEval_54,0,True,2,2,pass,4.43
Qwen3-4B-nothink,HumanEval_54,1,False,6,0,fail_after_6_turns,15.96
Qwen3-4B-nothink,HumanEval_54,2,True,3,3,pass,8.64
Qwen3-4B-nothink,HumanEval_55,0,True,1,1,pass,1.33
Qwen3-4B-nothink,HumanEval_55,1,True,1,1,pass,1.3
Qwen3-4B-nothink,HumanEval_55,2,True,1,1,pass,1.33
Qwen3-4B-nothink,HumanEval_56,0,True,1,1,pass,1.87
Qwen3-4B-nothink,HumanEval_56,1,True,1,1,pass,1.86
Qwen3-4B-nothink,HumanEval_56,2,True,1,1,pass,1.88
Qwen3-4B-nothink,HumanEval_57,0,True,1,1,pass,1.84
Qwen3-4B-nothink,HumanEval_57,1,True,1,1,pass,1.81
Qwen3-4B-nothink,HumanEval_57,2,True,1,1,pass,1.82
Qwen3-4B-nothink,HumanEval_58,0,True,1,1,pass,2.3
Qwen3-4B-nothink,HumanEval_58,1,True,1,1,pass,2.3
Qwen3-4B-nothink,HumanEval_58,2,True,1,1,pass,2.31
Qwen3-4B-nothink,HumanEval_59,0,True,1,1,pass,2.26
Qwen3-4B-nothink,HumanEval_59,1,True,1,1,pass,2.05
Qwen3-4B-nothink,HumanEval_59,2,True,1,1,pass,2.41
Qwen3-4B-nothink,HumanEval_6,0,True,1,1,pass,2.33
Qwen3-4B-nothink,HumanEval_6,1,True,1,1,pass,2.25
Qwen3-4B-nothink,HumanEval_6,2,True,1,1,pass,2.25
Qwen3-4B-nothink,HumanEval_60,0,True,1,1,pass,1.88
Qwen3-4B-nothink,HumanEval_60,1,True,1,1,pass,1.57
Qwen3-4B-nothink,HumanEval_60,2,True,1,1,pass,1.59
Qwen3-4B-nothink,HumanEval_61,0,True,1,1,pass,1.84
Qwen3-4B-nothink,HumanEval_61,1,True,1,1,pass,1.84
Qwen3-4B-nothink,HumanEval_61,2,True,1,1,pass,1.87
Qwen3-4B-nothink,HumanEval_62,0,True,1,1,pass,1.7
Qwen3-4B-nothink,HumanEval_62,1,True,1,1,pass,1.65
Qwen3-4B-nothink,HumanEval_62,2,True,1,1,pass,1.66
Qwen3-4B-nothink,HumanEval_63,0,True,1,1,pass,2.79
Qwen3-4B-nothink,HumanEval_63,1,True,1,1,pass,2.78
Qwen3-4B-nothink,HumanEval_63,2,True,1,1,pass,2.79
Qwen3-4B-nothink,HumanEval_64,0,True,1,1,pass,2.25
Qwen3-4B-nothink,HumanEval_64,1,True,1,1,pass,2.22
Qwen3-4B-nothink,HumanEval_64,2,True,2,2,pass,5.48
