Task,0.6b_nothink,1.7b_nothink,4b_nothink,8b_nothink,0.6b_think,1.7b_think,4b_think,8b_think
HumanEval_48,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_49,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_50,0.333,0.000,0.000,1.000,0.200,0.200,0.000,0.000
HumanEval_51,0.333,1.000,1.000,1.000,0.000,0.800,1.000,1.000
HumanEval_52,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_53,1.000,1.000,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_54,0.333,0.333,0.000,0.000,0.400,0.400,1.000,0.800
HumanEval_55,1.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_56,0.333,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_57,0.333,0.667,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_58,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_59,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_60,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_61,0.000,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_62,0.000,0.667,1.000,1.000,0.400,0.600,0.400,0.600
HumanEval_63,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_64,0.000,0.000,0.667,0.667,0.000,0.000,1.000,1.000
HumanEval_65,0.000,1.000,1.000,0.000,0.600,0.600,1.000,1.000
HumanEval_66,1.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_67,0.000,0.000,1.000,0.000,0.000,0.800,1.000,1.000
HumanEval_68,0.000,0.667,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_69,0.000,1.000,1.000,0.667,0.000,1.000,1.000,1.000
HumanEval_70,0.000,1.000,1.000,1.000,0.000,0.800,1.000,1.000
HumanEval_71,0.333,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_72,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_73,0.667,0.333,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_74,0.333,1.000,1.000,0.000,0.200,1.000,1.000,1.000
HumanEval_75,0.000,0.333,0.667,0.333,0.200,1.000,1.000,1.000
HumanEval_76,0.000,0.667,1.000,0.000,0.200,1.000,1.000,1.000
HumanEval_77,0.000,0.000,0.000,0.000,0.000,0.200,1.000,1.000
HumanEval_78,0.667,0.333,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_79,1.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_80,0.333,0.667,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_81,0.000,0.000,0.000,0.667,0.000,0.400,1.000,1.000
HumanEval_82,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_83,0.000,0.000,0.333,1.000,0.000,1.000,1.000,1.000
HumanEval_84,0.000,0.000,1.000,1.000,0.000,0.800,1.000,1.000
HumanEval_85,0.000,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_86,0.000,1.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_87,0.333,0.667,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_88,0.000,1.000,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_89,0.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000
HumanEval_90,0.000,0.000,0.667,1.000,0.000,1.000,1.000,1.000
HumanEval_91,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200
HumanEval_92,1.000,0.000,1.000,1.000,1.000,0.200,0.800,0.400
HumanEval_93,0.000,0.000,0.333,0.000,0.000,0.000,0.800,1.000
HumanEval_94,0.000,0.667,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_95,0.000,1.000,0.000,1.000,0.200,1.000,1.000,1.000
HumanEval_96,1.000,1.000,0.667,0.000,0.200,1.000,1.000,1.000
HumanEval_97,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_98,0.333,1.000,1.000,1.000,0.200,0.800,1.000,1.000
HumanEval_99,0.000,0.333,1.000,1.000,0.000,0.400,1.000,1.000
HumanEval_100,0.000,0.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_101,0.000,0.000,0.333,1.000,0.000,0.200,1.000,1.000
HumanEval_102,0.000,0.667,0.000,0.000,0.400,0.400,1.000,1.000
HumanEval_103,0.000,1.000,1.000,0.000,0.400,0.000,1.000,1.000
HumanEval_104,0.667,0.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_105,0.333,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_106,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_107,0.333,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_108,0.000,0.000,0.667,0.333,0.000,0.800,1.000,1.000
HumanEval_109,0.000,1.000,0.667,1.000,0.400,1.000,1.000,1.000
HumanEval_110,0.000,0.667,0.000,1.000,0.400,1.000,1.000,1.000
HumanEval_111,0.000,1.000,1.000,1.000,0.400,0.800,1.000,1.000
HumanEval_112,0.333,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_113,0.000,1.000,0.333,1.000,0.000,0.600,0.600,0.400
HumanEval_114,0.333,0.000,1.000,1.000,0.200,0.600,1.000,1.000
HumanEval_115,0.000,0.333,1.000,0.000,0.000,0.400,1.000,1.000
HumanEval_116,1.000,1.000,0.000,0.000,1.000,0.800,1.000,0.600
HumanEval_117,0.333,0.667,1.000,1.000,0.200,0.000,1.000,1.000
HumanEval_118,0.000,0.667,1.000,0.000,0.000,0.800,1.000,1.000
HumanEval_119,0.333,0.333,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_120,0.000,0.000,0.667,1.000,0.200,1.000,1.000,1.000
HumanEval_121,1.000,1.000,0.667,1.000,1.000,1.000,1.000,1.000
HumanEval_122,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_123,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_124,0.000,0.333,1.000,1.000,0.400,0.800,1.000,1.000
HumanEval_125,0.000,0.333,0.000,1.000,0.000,0.000,1.000,1.000
HumanEval_126,0.000,0.000,0.667,0.667,0.000,0.000,0.800,1.000
HumanEval_127,0.333,1.000,0.000,1.000,1.000,1.000,1.000,1.000
HumanEval_128,0.000,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_129,0.000,0.000,0.667,0.667,0.200,0.800,1.000,1.000
HumanEval_130,0.000,0.000,0.000,0.000,0.000,0.200,0.800,0.800
HumanEval_131,0.000,0.000,1.000,1.000,0.000,0.400,0.400,0.800
HumanEval_132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HumanEval_133,0.000,0.000,0.000,1.000,0.800,1.000,1.000,1.000
HumanEval_134,0.000,0.000,1.000,0.000,0.000,0.200,1.000,0.800
HumanEval_135,0.333,0.667,0.000,0.000,0.400,1.000,1.000,1.000
HumanEval_136,0.333,1.000,1.000,1.000,0.400,1.000,1.000,1.000
HumanEval_137,0.000,0.667,0.333,1.000,0.000,0.800,1.000,1.000
HumanEval_138,0.667,0.000,0.667,1.000,0.200,1.000,1.000,1.000
HumanEval_139,0.000,0.333,0.000,0.667,0.400,1.000,1.000,1.000
HumanEval_140,0.000,0.000,0.000,0.333,0.000,0.200,0.600,0.400
HumanEval_141,0.000,0.000,1.000,1.000,0.000,0.400,1.000,1.000
HumanEval_142,0.000,1.000,0.000,0.000,0.200,1.000,1.000,1.000
HumanEval_143,0.667,1.000,1.000,1.000,0.800,1.000,1.000,1.000
HumanEval_144,0.333,0.667,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HumanEval_146,0.000,1.000,0.333,1.000,0.800,1.000,1.000,1.000
HumanEval_147,0.333,1.000,1.000,1.000,0.600,1.000,1.000,1.000
HumanEval_148,0.000,0.667,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_149,0.333,1.000,1.000,1.000,0.800,0.600,1.000,1.000
HumanEval_150,1.000,1.000,1.000,1.000,1.000,0.800,1.000,1.000
HumanEval_151,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_152,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_153,0.000,0.000,0.667,1.000,0.600,0.600,1.000,1.000
HumanEval_154,0.667,1.000,1.000,1.000,0.800,0.800,1.000,1.000
HumanEval_155,0.333,0.000,1.000,1.000,0.200,1.000,1.000,1.000
HumanEval_156,0.000,1.000,1.000,1.000,0.000,0.400,1.000,1.000
HumanEval_157,0.333,1.000,1.000,1.000,1.000,0.800,1.000,1.000
HumanEval_158,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000
HumanEval_159,0.000,0.000,0.000,1.000,0.400,1.000,1.000,1.000
HumanEval_160,0.000,0.000,0.667,0.000,0.000,0.600,1.000,1.000
HumanEval_161,0.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000
HumanEval_162,0.667,1.000,1.000,1.000,0.200,0.800,1.000,1.000
HumanEval_163,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000
