Task,Best_Model,First_Turn_Pass_Rate,Avg_First_Turn_Latency_s
HumanEval_88,1.7b_nothink,1.000,2.069
HumanEval_89,8b_nothink,1.000,4.852
HumanEval_90,8b_nothink,1.000,3.387
HumanEval_91,4b_think,0.200,58.672
HumanEval_92,0.6b_nothink,1.000,0.770
HumanEval_93,8b_think,1.000,99.080
HumanEval_94,4b_nothink,1.000,2.379
HumanEval_95,1.7b_nothink,1.000,2.328
HumanEval_96,0.6b_nothink,1.000,0.855
HumanEval_97,1.7b_nothink,1.000,1.510
HumanEval_98,1.7b_nothink,1.000,1.595
HumanEval_99,4b_nothink,1.000,2.868
HumanEval_100,4b_nothink,1.000,2.281
HumanEval_101,8b_nothink,1.000,2.909
HumanEval_102,4b_think,1.000,36.370
HumanEval_103,1.7b_nothink,1.000,2.601
HumanEval_104,4b_nothink,1.000,1.995
HumanEval_105,1.7b_nothink,1.000,3.058
HumanEval_106,1.7b_nothink,1.000,2.481
HumanEval_107,1.7b_nothink,1.000,2.615
HumanEval_108,4b_think,1.000,44.768
HumanEval_109,1.7b_nothink,1.000,3.466
HumanEval_110,8b_nothink,1.000,6.120
HumanEval_111,1.7b_nothink,1.000,2.173
HumanEval_112,1.7b_nothink,1.000,1.603
HumanEval_113,1.7b_nothink,1.000,2.622
HumanEval_114,4b_nothink,1.000,1.721
HumanEval_115,4b_nothink,1.000,4.369
HumanEval_116,0.6b_nothink,1.000,0.886
HumanEval_117,4b_nothink,1.000,2.959
HumanEval_118,4b_nothink,1.000,3.305
HumanEval_119,4b_nothink,1.000,2.866
HumanEval_120,8b_nothink,1.000,5.573
HumanEval_121,0.6b_nothink,1.000,0.581
HumanEval_122,0.6b_nothink,1.000,0.705
HumanEval_123,1.7b_nothink,1.000,2.504
HumanEval_124,4b_nothink,1.000,4.442
HumanEval_125,8b_nothink,1.000,4.820
HumanEval_126,8b_think,1.000,99.215
HumanEval_127,1.7b_nothink,1.000,3.053
HumanEval_128,4b_nothink,1.000,2.478
HumanEval_129,4b_think,1.000,80.964
HumanEval_130,4b_think,0.800,93.376
HumanEval_131,4b_nothink,1.000,1.669
HumanEval_132,0.6b_nothink,0.000,0.805
HumanEval_133,8b_nothink,1.000,3.614
HumanEval_134,4b_nothink,1.000,2.908
HumanEval_135,1.7b_think,1.000,7.400
HumanEval_136,1.7b_nothink,1.000,2.143
HumanEval_137,8b_nothink,1.000,4.730
HumanEval_138,8b_nothink,1.000,3.796
HumanEval_139,1.7b_think,1.000,6.768
HumanEval_140,4b_think,0.600,44.844
HumanEval_141,4b_nothink,1.000,4.397
HumanEval_142,1.7b_nothink,1.000,2.004
HumanEval_143,1.7b_nothink,1.000,2.114
HumanEval_144,4b_nothink,1.000,2.352
HumanEval_145,0.6b_nothink,0.000,0.565
HumanEval_146,1.7b_nothink,1.000,2.203
HumanEval_147,1.7b_nothink,1.000,2.534
HumanEval_148,4b_nothink,1.000,3.888
HumanEval_149,1.7b_nothink,1.000,1.990
HumanEval_150,0.6b_nothink,1.000,0.732
HumanEval_151,1.7b_nothink,1.000,1.587
HumanEval_152,0.6b_nothink,1.000,0.900
HumanEval_153,8b_nothink,1.000,7.982
HumanEval_154,4b_nothink,1.000,1.450
HumanEval_155,4b_nothink,1.000,1.939
HumanEval_156,1.7b_nothink,1.000,2.391
HumanEval_157,1.7b_nothink,1.000,1.755
HumanEval_158,1.7b_nothink,1.000,2.041
HumanEval_159,8b_nothink,1.000,6.690
HumanEval_160,4b_think,1.000,21.966
HumanEval_161,1.7b_nothink,1.000,2.173
HumanEval_162,4b_nothink,1.000,1.440
HumanEval_163,4b_think,0.200,60.982
